,Team,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,AdjTempo,AdjOE_x,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,3P%,2P%,FT%,Blk%,Stl%,A%,3PA%,AdjOE_y,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
185,Mount St. Mary's,63.2,18.8,17.9,96.3,102.8,63.2,96.3,48.6,20.1,31.0,26.3,102.8,48.6,18.9,29.1,26.2,33.9,47.6,68.5,7.2,10.9,9.2,53.3,30.4,15.6,57.5,26.8,16.8,54.4,28.8
186,Murray St.,65.8,17.8,17.7,111.4,95.1,65.8,111.4,52.9,17.1,35.5,31.1,95.1,48.0,21.0,25.4,24.6,34.7,53.5,69.8,10.5,7.8,9.3,50.2,37.7,17.0,52.2,30.8,14.8,52.7,32.5
187,N.C. State,66.9,17.2,17.9,109.2,106.5,66.9,109.2,48.0,14.5,30.2,29.1,106.5,53.5,18.3,31.1,29.4,34.1,46.0,72.5,11.1,8.1,6.4,43.8,39.3,18.0,47.7,34.3,17.0,54.0,29.0
188,NJIT,65.9,18.5,17.3,89.5,108.0,65.9,89.5,46.5,18.7,23.2,31.0,108.0,51.0,16.7,27.9,27.0,32.6,45.1,66.7,9.2,9.9,8.8,45.0,35.8,18.2,51.0,30.9,15.7,49.6,34.7
189,Navy,64.6,18.9,18.0,95.4,96.7,64.6,95.4,47.5,19.9,33.8,30.8,96.7,47.3,20.4,24.8,31.7,32.3,47.0,65.6,9.1,10.8,9.1,49.8,31.3,17.5,56.1,26.4,18.6,49.0,32.3
190,Nebraska,71.0,15.7,17.5,105.9,102.9,71.0,105.9,50.3,17.1,20.7,33.3,102.9,51.5,18.3,31.4,29.4,32.0,51.8,73.1,10.2,9.7,7.5,49.0,37.4,19.5,51.9,28.7,17.1,49.1,33.8
191,Nebraska Omaha,69.8,16.6,17.1,98.1,116.3,69.8,98.1,49.3,19.3,24.6,28.3,116.3,56.3,14.7,30.0,37.4,35.8,46.9,73.1,7.6,9.1,10.2,43.4,34.3,17.4,51.8,30.9,19.6,47.1,33.3
192,Nevada,70.1,15.9,18.0,106.9,101.9,70.1,106.9,50.6,18.4,24.5,32.0,101.9,52.4,18.3,26.1,29.7,33.0,51.3,74.9,7.2,8.3,10.1,56.3,36.3,19.1,52.2,28.7,17.1,45.5,37.4
193,New Hampshire,62.2,20.1,17.8,103.1,109.6,62.2,103.1,50.9,14.8,27.9,25.4,109.6,50.4,14.0,21.9,26.7,36.6,48.1,67.3,8.3,8.0,6.8,48.3,41.2,14.4,47.6,38.0,16.5,50.0,33.5
194,New Mexico,70.9,16.7,17.0,106.9,105.8,70.9,106.9,49.4,16.1,24.0,32.8,105.8,52.0,18.0,29.0,35.5,34.4,48.1,74.8,8.4,8.2,7.9,44.5,37.8,19.9,48.5,31.6,20.0,53.8,26.2
195,New Mexico St.,66.1,18.4,17.1,107.8,97.8,66.1,107.8,52.2,20.7,33.2,35.4,97.8,45.5,16.9,26.3,27.8,33.0,54.2,69.3,6.3,9.9,10.8,53.8,41.1,19.0,49.4,31.5,18.5,47.2,34.4
196,New Orleans,71.7,15.5,16.5,97.2,105.4,71.7,97.2,50.0,19.3,25.4,42.1,105.4,49.7,19.6,31.1,32.8,31.2,51.0,73.8,8.2,9.5,9.9,45.4,22.3,23.7,60.4,15.9,18.9,51.0,30.1
197,Niagara,64.2,19.3,17.6,100.1,102.3,64.2,100.1,49.3,16.7,23.1,28.1,102.3,48.2,17.1,27.1,28.8,34.0,48.2,73.4,8.2,7.7,9.0,48.3,36.1,17.3,51.7,30.9,18.3,50.5,31.2
198,Nicholls St.,69.6,15.6,17.5,101.5,104.6,69.6,101.5,52.5,17.3,30.2,21.9,104.6,48.5,19.7,30.8,36.3,32.4,54.8,62.4,6.4,7.7,9.7,42.5,37.5,11.5,57.7,30.7,21.1,47.9,31.0
199,Norfolk St.,66.9,17.1,17.0,102.4,102.2,66.9,102.4,51.5,20.0,30.0,39.1,102.2,45.2,18.5,27.3,33.4,34.5,51.3,69.5,9.9,8.4,11.6,47.6,35.8,20.9,50.6,28.5,19.3,45.5,35.2
200,North Alabama,67.6,17.2,17.1,90.4,104.0,67.6,90.4,43.2,17.0,25.5,23.8,104.0,50.2,18.9,29.9,40.0,29.2,42.8,75.1,11.1,8.8,8.3,35.5,39.8,17.1,49.4,33.5,21.7,51.5,26.8
201,North Carolina,70.1,16.8,17.3,113.0,97.0,70.1,113.0,52.1,16.5,30.4,29.6,97.0,49.8,14.1,20.8,21.5,36.2,50.7,77.2,8.5,9.4,7.1,53.6,37.4,18.0,50.0,32.0,13.7,52.8,33.5
202,North Carolina A&T,67.3,17.8,17.6,97.0,107.8,67.3,97.0,46.6,18.3,29.2,28.2,107.8,50.9,20.1,31.3,37.8,31.5,46.3,66.0,6.4,9.3,9.0,47.8,33.9,16.6,54.7,28.7,20.6,46.2,33.2
203,North Carolina Central,67.5,16.8,17.1,96.8,107.0,67.5,96.8,47.7,23.7,32.6,37.8,107.0,50.5,22.1,30.6,43.5,31.0,48.3,66.7,12.2,10.6,13.2,45.7,33.5,20.9,53.2,25.9,23.5,44.8,31.7
204,North Dakota,67.2,17.8,16.9,96.9,116.4,67.2,96.9,47.2,17.5,26.8,31.6,116.4,56.3,13.7,25.8,30.5,33.4,44.8,73.6,9.2,9.3,8.2,49.9,44.3,19.8,42.5,37.7,15.9,54.3,29.8
205,North Dakota St.,66.2,18.3,17.1,103.3,101.2,66.2,103.3,51.8,17.0,24.8,33.4,101.2,47.6,12.7,23.1,25.5,35.3,51.1,76.0,6.3,8.1,8.8,41.2,36.9,19.7,50.0,30.3,16.7,55.8,27.5
206,North Florida,67.6,17.4,17.5,97.3,106.0,67.6,97.3,48.1,21.6,25.2,30.4,106.0,48.8,16.7,36.9,28.7,32.4,47.7,73.1,11.0,12.2,9.4,51.9,49.3,18.7,40.9,40.4,16.7,56.9,26.3
